cell_id,theta_skew_deg,z,regime
0,51.575,3.296,trans
1,81.282,2.091,low
2,81.282,2.091,low
3,45.856,3.707,trans
4,59.146,2.874,low
5,87.458,1.944,low
6,87.458,1.944,low
7,12.317,13.802,high
8,83.634,2.033,low
9,52.516,3.237,trans
10,16.861,10.082,high
11,86.137,1.974,low
12,3.130,54.319,high
13,1.133,150.080,high
14,6.735,25.243,high
15,37.769,4.501,trans
16,71.416,2.380,low
17,71.336,2.383,low
18,82.545,2.059,low
19,82.545,2.059,low
20,75.016,2.266,low
21,80.166,2.121,low
22,77.142,2.204,low
23,35.108,4.842,trans
24,86.201,1.972,low
25,86.201,1.972,low
26,59.601,2.852,low
27,77.142,2.204,low
28,82.726,2.055,low
29,53.990,3.149,trans
30,8.344,20.375,high
31,87.195,1.950,low
32,87.195,1.950,low
33,74.938,2.269,low
34,53.707,3.165,trans
35,85.080,1.998,low
36,9.928,17.123,high
37,62.301,2.729,low
38,4.278,39.742,high
39,35.148,4.837,trans
40,22.998,7.392,high
41,78.642,2.162,low
42,87.737,1.938,low
43,78.119,2.176,low
44,72.802,2.335,low
45,77.919,2.182,low
46,77.919,2.182,low
47,87.016,1.954,low
48,88.249,1.926,low
49,78.201,2.174,low
50,78.201,2.174,low
51,77.556,2.192,low
52,76.477,2.223,low
53,88.356,1.924,low
54,80.099,2.122,low
55,88.356,1.924,low
56,85.500,1.988,low
57,83.065,2.047,low
58,52.016,3.268,trans
59,41.352,4.111,trans
60,79.263,2.145,low
61,70.118,2.424,low
62,80.301,2.117,low
63,86.176,1.973,low
64,79.745,2.132,low
65,84.197,2.019,low
66,85.500,1.988,low
67,3.677,46.233,high
68,81.816,2.078,low
69,84.144,2.020,low
70,69.826,2.435,low
71,80.134,2.121,low
72,38.068,4.466,trans
73,66.729,2.548,low
74,62.129,2.736,low
75,80.512,2.111,low
76,86.842,1.958,low
77,73.597,2.310,low
78,66.183,2.569,low
79,14.033,12.115,high
80,89.678,1.896,low
81,37.086,4.584,trans
82,74.935,2.269,low
83,87.458,1.944,low
84,8.027,21.179,high
85,26.252,6.476,high
86,87.764,1.937,low
87,82.351,2.064,low
88,79.590,2.136,low
89,52.260,3.253,trans
90,84.506,2.012,low
91,84.506,2.012,low
92,86.842,1.958,low
93,74.149,2.293,low
94,5.329,31.903,high
95,78.085,2.177,low
96,78.085,2.177,low
97,83.634,2.033,low
98,82.369,2.064,low
99,84.314,2.016,low
100,59.641,2.850,low
101,61.188,2.778,low
102,85.319,1.993,low
103,85.121,1.997,low
104,79.595,2.136,low
105,76.477,2.223,low
106,80.200,2.120,low
107,80.200,2.120,low
108,81.995,2.073,low
109,72.188,2.355,low
110,88.992,1.910,low
111,7.400,22.972,high
112,81.096,2.096,low
113,86.408,1.967,low
114,67.623,2.514,low
115,81.096,2.096,low
116,83.357,2.039,low
117,85.207,1.995,low
118,62.445,2.722,low
119,10.198,16.669,high
120,10.636,15.984,high
121,18.100,9.392,high
122,78.635,2.162,low
123,84.330,2.016,low
124,14.849,11.449,high
125,44.367,3.832,trans
126,60.711,2.800,low
127,63.968,2.658,low
128,57.338,2.965,low
129,10.598,16.041,high
130,89.234,1.905,low
131,81.000,2.099,low
132,87.757,1.937,low
133,83.997,2.024,low
134,88.147,1.929,low
135,80.301,2.117,low
136,82.920,2.050,low
137,79.263,2.145,low
138,65.780,2.584,low
139,88.637,1.918,low
140,89.465,1.900,low
141,78.715,2.160,low
142,78.715,2.160,low
143,83.514,2.036,low
144,80.966,2.100,low
145,83.654,2.032,low
146,83.514,2.036,low
147,76.253,2.229,low
148,83.654,2.032,low
149,3.859,44.049,high
150,6.114,27.806,high
151,10.259,16.571,high
152,83.948,2.025,low
153,65.165,2.609,low
154,83.948,2.025,low
155,86.176,1.973,low
156,84.617,2.009,low
157,29.877,5.690,trans
158,79.045,2.151,low
159,79.314,2.143,low
160,86.407,1.967,low
161,87.626,1.940,low
162,83.017,2.048,low
163,82.670,2.056,low
164,78.763,2.158,low
165,67.623,2.514,low
166,36.723,4.629,trans
167,88.918,1.912,low
168,13.380,12.706,high
169,58.255,2.918,low
170,81.816,2.078,low
171,88.670,1.917,low
172,84.462,2.013,low
173,89.955,1.890,low
174,73.313,2.319,low
175,63.487,2.678,low
176,63.923,2.659,low
177,67.358,2.524,low
178,88.860,1.913,low
179,87.783,1.937,low
180,87.341,1.946,low
181,87.341,1.946,low
182,76.790,2.214,low
183,81.140,2.095,low
184,81.140,2.095,low
185,87.344,1.946,low
186,18.042,9.422,high
187,75.495,2.252,low
188,85.675,1.984,low
189,85.636,1.985,low
190,11.989,14.180,high
191,82.454,2.062,low
192,87.839,1.935,low
193,86.014,1.976,low
194,87.839,1.935,low
195,82.454,2.062,low
196,86.843,1.958,low
197,89.027,1.910,low
198,52.983,3.209,trans
199,86.887,1.957,low
200,89.026,1.910,low
201,77.903,2.182,low
202,89.026,1.910,low
203,76.970,2.209,low
204,47.806,3.556,trans
205,63.564,2.674,low
206,66.729,2.548,low
207,85.168,1.996,low
208,80.529,2.111,low
209,79.558,2.137,low
210,79.840,2.129,low
211,16.093,10.563,high
212,76.514,2.222,low
213,86.387,1.968,low
214,86.663,1.962,low
215,72.538,2.344,low
216,84.862,2.003,low
217,80.512,2.111,low
218,78.370,2.169,low
219,73.597,2.310,low
220,48.976,3.471,trans
221,24.744,6.870,high
222,67.642,2.513,low
223,65.504,2.595,low
224,68.912,2.467,low
225,75.863,2.241,low
226,86.058,1.975,low
227,76.020,2.236,low
228,86.058,1.975,low
229,87.719,1.938,low
230,82.483,2.061,low
231,88.702,1.917,low
232,88.702,1.917,low
233,80.572,2.110,low
234,87.063,1.953,low
235,83.570,2.034,low
236,88.915,1.912,low
237,84.466,2.013,low
238,87.458,1.944,low
239,86.417,1.967,low
240,75.863,2.241,low
241,73.470,2.314,low
242,89.838,1.892,low
243,81.652,2.082,low
244,85.449,1.990,low
245,66.167,2.569,low
246,74.209,2.291,low
247,70.147,2.423,low
248,80.831,2.103,low
249,79.904,2.128,low
250,84.660,2.008,low
251,81.397,2.089,low
252,81.397,2.089,low
253,86.603,1.963,low
254,88.588,1.919,low
255,82.511,2.060,low
256,88.063,1.930,low
257,50.722,3.352,trans
258,67.089,2.534,low
259,75.631,2.248,low
260,86.600,1.963,low
261,88.455,1.922,low
262,78.358,2.170,low
263,88.455,1.922,low
264,58.753,2.893,low
265,78.088,2.177,low
266,80.179,2.120,low
267,80.179,2.120,low
268,77.345,2.198,low
269,72.129,2.357,low
270,86.319,1.969,low
271,75.613,2.248,low
272,88.063,1.930,low
273,84.163,2.020,low
274,84.106,2.021,low
275,78.119,2.176,low
276,52.260,3.253,trans
277,75.685,2.246,low
278,72.968,2.330,low
279,65.859,2.581,low
280,83.490,2.036,low
281,76.023,2.236,low
282,75.685,2.246,low
283,68.645,2.477,low
284,70.452,2.413,low
285,79.567,2.137,low
286,69.438,2.448,low
287,60.338,2.817,low
288,86.842,1.958,low
289,83.972,2.024,low
290,60.927,2.790,low
291,83.972,2.024,low
292,76.415,2.225,low
293,89.703,1.895,low
294,89.309,1.903,low
295,85.392,1.991,low
296,85.392,1.991,low
297,83.275,2.041,low
298,81.733,2.080,low
299,78.735,2.159,low
300,86.842,1.958,low
301,77.290,2.200,low
302,85.097,1.998,low
303,89.733,1.895,low
304,85.688,1.984,low
305,69.561,2.444,low
306,82.074,2.071,low
307,59.157,2.874,low
308,76.916,2.210,low
309,80.525,2.111,low
310,60.981,2.788,low
311,11.222,15.148,high
312,23.718,7.168,high
313,86.226,1.972,low
314,57.891,2.937,low
315,64.956,2.617,low
316,77.383,2.197,low
317,77.299,2.199,low
318,79.595,2.136,low
319,89.217,1.905,low
320,69.404,2.449,low
321,57.171,2.974,low
322,72.455,2.346,low
323,88.060,1.930,low
324,82.317,2.065,low
325,33.553,5.067,trans
326,82.948,2.049,low
327,89.737,1.894,low
328,87.345,1.946,low
329,83.147,2.045,low
330,84.857,2.003,low
331,73.280,2.320,low
332,73.294,2.319,low
333,83.547,2.035,low
334,1.000,170.000,high
335,7.041,24.143,high
336,78.409,2.168,low
337,20.416,8.327,high
338,65.774,2.585,low
339,83.141,2.045,low
340,82.686,2.056,low
341,70.891,2.398,low
342,83.369,2.039,low
343,87.967,1.933,low
344,87.967,1.933,low
345,81.384,2.089,low
346,84.168,2.020,low
347,84.168,2.020,low
348,64.504,2.635,low
349,66.740,2.547,low
350,88.665,1.917,low
351,88.351,1.924,low
352,81.096,2.096,low
353,83.264,2.042,low
354,82.048,2.072,low
355,78.580,2.163,low
356,84.844,2.004,low
357,71.937,2.363,low
