exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0002,0.01,0.49974652130855146,1.7845823256574247e-14,0.4054149171818429,405414917181.8429,0.04742939898624186,686.9695122921619,5524,0.05920123234078746,Inconclusive
exp1,0.0002,0.01,0.7368873865154758,2.6185122260901808e-14,1.436282355424904,1436282355424.904,0.04742939898624186,699.4204804960074,5524,0.08887568720558033,Inconclusive
exp1,0.0002,0.01,0.9740282517223996,3.4503136320576255e-14,11.66315947219366,11663159472193.66,0.04742939898624186,712.3014783999309,5524,0.11964068845710257,Inconclusive
exp1,0.0002,0.01,1.210373342213864,4.2776552330811904e-14,104.45663740163967,104456637401639.67,0.04742939898624186,725.6045472068462,5524,0.15144775839863747,Inconclusive
exp1,0.0002,0.01,1.4475142074207885,5.116947786271239e-14,987.5569624488397,987556962448839.8,0.04742939898624186,739.4604479211229,5524,0.1845785748770036,Inconclusive
exp1,0.0002,0.01,1.683859297912253,5.948147091854554e-14,9574.580970731042,9574580970731042.0,0.04742939898624186,753.8198435087467,5524,0.21888543753499537,Inconclusive
exp1,0.0002,0.01,1.9210001631191769,6.796094718935511e-14,95892.62610609834,9.589262610609834e+16,0.04742939898624186,768.8253695953667,5524,0.2546822109224081,Inconclusive
exp1,0.0002,0.01,2.158141028326101,7.629625867934092e-14,979358.0479503649,9.793580479503649e+17,0.04742939898624186,784.4779274996891,5524,0.2919470247290575,Inconclusive
exp1,0.0002,0.01,2.3944861188175657,8.454686683609757e-14,10080838.379922835,1.0080838379922835e+19,0.04742939898624186,800.7728398882585,5524,0.33064743822577386,Inconclusive
exp1,0.0002,0.01,2.6316269840244897,9.27548075057514e-14,105925376.51386154,1.0592537651386153e+20,0.04742939898624186,817.8754942381629,5524,0.37115475649219154,Inconclusive
exp1,0.0002,0.01,2.8687678492314137,1.0107737715941042e-13,1124744056.947812,1.1247440569478121e+21,0.04742939898624186,835.7935068040999,5524,0.413464190369215,Inconclusive
exp1,0.0002,0.01,3.1051129397228783,1.0932532065168704e-13,11950831119.28213,1.195083111928213e+22,0.04742939898624186,854.5293566742376,5524,0.4575598322768816,Inconclusive
exp1,0.0002,0.01,3.3422538049298023,1.1763247926855937e-13,128914482074.58955,1.2891448207458956e+23,0.04742939898624186,874.2814152794823,5524,0.5038881869217909,Inconclusive
exp1,0.0002,0.01,3.578598895421267,1.2601993869546697e-13,1387752428585.9207,1.3877524285859208e+24,0.04779145546705286,894.992972950113,5524,0.5520914905319906,Inconclusive
exp1,0.0002,0.01,3.815739760628191,1.342516284278273e-13,15133925631988.729,1.513392563198873e+25,0.04833454018826937,916.8823536028442,5524,0.6027302645983367,Inconclusive
exp1,0.0002,0.01,4.052880625835115,1.427207648371339e-13,165728955920466.25,1.6572895592046625e+26,0.05068790731354091,939.9629974698873,5524,0.6546812649689532,Inconclusive
exp1,0.0002,0.01,4.28922571632658,1.5108943057196493e-13,1806621669722765.5,1.8066216697227655e+27,0.055756698044895005,964.2361333816849,5524,0.7069562626811903,Inconclusive
exp1,0.0002,0.01,4.5263665815335035,1.5942506398757597e-13,1.9911535779493796e+16,1.9911535779493796e+28,0.028783490224475017,989.9567895615124,5524,0.7878224433598658,Inconclusive
exp1,0.0002,0.01,4.763507446740428,1.6775624046732812e-13,2.199985209616475e+17,2.199985209616475e+29,0.0005430847212165098,1017.1463901917418,5524,0.8766388592473139,Inconclusive
exp1,0.0002,0.01,4.9998525372318925,1.760088159203457e-13,2.4162304898954634e+18,2.4162304898954636e+30,0.0,1045.8161995037963,5524,0.9465834139332496,Inconclusive
exp1,0.0002,0.02,0.49974652130855146,1.7845823256574247e-14,0.5194292146965225,519429214696.52246,0.049239681390296886,686.9695122921619,5524,0.0590887252477795,Inconclusive
exp1,0.0002,0.02,0.7368873865154758,2.6185122260901808e-14,2.8823423863439106,2882342386343.9106,0.049239681390296886,699.4204804960074,5524,0.08870678624167767,Inconclusive
exp1,0.0002,0.02,0.9740282517223996,3.4503136320576255e-14,25.41223181789264,25412231817892.64,0.049239681390296886,712.3014783999309,5524,0.11941332112822173,Inconclusive
exp1,0.0002,0.02,1.210373342213864,4.2776552330811904e-14,242.4683741986219,242468374198621.9,0.049239681390296886,725.6045472068462,5524,0.15115994433858684,Inconclusive
exp1,0.0002,0.02,1.4475142074207885,5.116947786271239e-14,2440.2556974796025,2440255697479602.5,0.049239681390296886,739.4604479211229,5524,0.18422779841391543,Inconclusive
exp1,0.0002,0.02,1.683859297912253,5.948147091854554e-14,25095.038216285433,2.509503821628543e+16,0.049239681390296886,753.8198435087467,5524,0.21846946368943287,Inconclusive
exp1,0.0002,0.02,1.9210001631191769,6.796094718935511e-14,265442.82170856494,2.6544282170856493e+17,0.049239681390296886,768.8253695953667,5524,0.2541982082410657,Inconclusive
exp1,0.0002,0.02,2.158141028326101,7.629625867934092e-14,2849288.723453273,2.849288723453273e+18,0.049239681390296886,784.4779274996891,5524,0.29139220332136256,Inconclusive
exp1,0.0002,0.02,2.3944861188175657,8.454686683609757e-14,30673789.834419645,3.0673789834419646e+19,0.049239681390296886,800.7728398882585,5524,0.33001906985210266,Inconclusive
exp1,0.0002,0.02,2.6316269840244897,9.27548075057514e-14,335638477.6238806,3.3563847762388065e+20,0.049239681390296886,817.8754942381629,5524,0.37044940727802916,Inconclusive
exp1,0.0002,0.02,2.8687678492314137,1.0107737715941042e-13,3696160094.691157,3.696160094691157e+21,0.049239681390296886,835.7935068040999,5524,0.4126784355414514,Inconclusive
exp1,0.0002,0.02,3.1051129397228783,1.0932532065168704e-13,40576994387.47776,4.057699438747776e+22,0.049239681390296886,854.5293566742376,5524,0.45669027729345923,Inconclusive
exp1,0.0002,0.02,3.3422538049298023,1.1763247926855937e-13,450815301010.55414,4.508153010105542e+23,0.049239681390296886,874.2814152794823,5524,0.5029305886950297,Inconclusive
exp1,0.0002,0.02,3.578598895421267,1.2601993869546697e-13,4983460305283.596,4.983460305283596e+24,0.048515568428674875,894.992972950113,5524,0.5516716490943238,Inconclusive
exp1,0.0002,0.02,3.815739760628191,1.342516284278273e-13,55670391296662.836,5.567039129666284e+25,0.05050687907313541,916.8823536028442,5524,0.6013544298684185,Inconclusive
exp1,0.0002,0.02,4.052880625835115,1.427207648371339e-13,623083324722859.6,6.230833247228597e+26,0.05195510499637943,939.9629974698873,5524,0.6538073578646848,Inconclusive
exp1,0.0002,0.02,4.28922571632658,1.5108943057196493e-13,6927843927381953.0,6.927843927381953e+27,0.04489500362056481,964.2361333816849,5524,0.7150884282795169,Inconclusive
exp1,0.0002,0.02,4.5263665815335035,1.5942506398757597e-13,7.774701494980712e+16,7.7747014949807125e+28,0.00832729905865315,989.9567895615124,5524,0.8044159076841279,Inconclusive
exp1,0.0002,0.02,4.763507446740428,1.6775624046732812e-13,8.733080928759924e+17,8.733080928759924e+29,0.00018102824040550325,1017.1463901917418,5524,0.8769564244924679,Inconclusive
exp1,0.0002,0.02,4.9998525372318925,1.760088159203457e-13,9.737081437772407e+18,9.737081437772407e+30,0.0,1045.8161995037963,5524,0.9465834139332496,Inconclusive
exp1,0.0002,0.05,0.49974652130855146,1.7845823256574247e-14,0.9908089454630542,990808945463.0542,0.049239681390296886,686.9695122921619,5524,0.0590887252477795,Inconclusive
exp1,0.0002,0.05,0.7368873865154758,2.6185122260901808e-14,6.580652388686516,6580652388686.516,0.049239681390296886,699.4204804960074,5524,0.08870678624167767,Inconclusive
exp1,0.0002,0.05,0.9740282517223996,3.4503136320576255e-14,53.723726081848305,53723726081848.305,0.049239681390296886,712.3014783999309,5524,0.11941332112822173,Inconclusive
exp1,0.0002,0.05,1.210373342213864,4.2776552330811904e-14,469.51094332194094,469510943321940.94,0.049239681390296886,725.6045472068462,5524,0.15115994433858684,Inconclusive
exp1,0.0002,0.05,1.4475142074207885,5.116947786271239e-14,4329.528923187649,4329528923187648.5,0.049239681390296886,739.4604479211229,5524,0.18422779841391543,Inconclusive
exp1,0.0002,0.05,1.683859297912253,5.948147091854554e-14,40940.33756249245,4.0940337562492456e+16,0.049239681390296886,753.8198435087467,5524,0.21846946368943287,Inconclusive
